Index,Headline,Timestamp,Refered stock,ml_sentiment
34,$AMD Loss,"Wednesday, November 5, 2025 at 10:23:32 AM EST",AMD,negative
35,Doubling/Tripling down on my $APLD and $META,"Wednesday, November 5, 2025 at 10:32:55 AM EST",APLD,neutral
36,Doubling/Tripling down on my $APLD and $META,"Wednesday, November 5, 2025 at 10:32:55 AM EST",META,neutral
37,Send prayers 🙏,"Wednesday, November 5, 2025 at 10:53:21 AM EST",META,neutral
38,TE 600k bet,"Wednesday, November 5, 2025 at 11:02:27 AM EST",TE,neutral
39,$SEZL Long and strong,"Wednesday, November 5, 2025 at 12:21:03 PM EST",SEZL,positive
40,50k Earnings YOLO for my $BROS,"Wednesday, November 5, 2025 at 1:10:17 PM EST",BROS,positive
41,Finally closed my UUUU position,"Wednesday, November 5, 2025 at 1:36:14 PM EST",UUUU,neutral
42,DASH short into ER,"Wednesday, November 5, 2025 at 1:56:30 PM EST",DASH,neutral
43,100k loss on papaya stock,"Wednesday, November 5, 2025 at 1:58:28 PM EST",PGY,negative
44,Stock only goes up,"Wednesday, November 5, 2025 at 2:04:23 PM EST",QQQ,neutral
45,$200k gain on Google,"Wednesday, November 5, 2025 at 2:43:23 PM EST",GOOG,neutral
46,"Qualcomm reports earnings, revenue beat and issues strong forecast","Wednesday, November 5, 2025 at 4:49:36 PM EST",QCOM,neutral
47,Abaxx Tech: $90k to $450k (400%) and I didn't even have to use options to do it,"Wednesday, November 5, 2025 at 6:01:21 PM EST",ABXX,neutral
48,ENPH: Back from the dead?,"Wednesday, November 5, 2025 at 6:51:33 PM EST",ENPH,neutral
49,"Set some !remindme’s in the comments for like 2 years out. F the haters, I’m getting rich without them. See you later.","Wednesday, November 5, 2025 at 7:37:05 PM EST",MSTR,neutral
50,Boring 1.7 million gain with IREN,"Wednesday, November 5, 2025 at 7:52:51 PM EST",IREN,neutral
51,👁️ ♥️ 📻 YOLO. Lots of debt but has some exclusive content that appears to be going up in value in the streaming war era.,"Wednesday, November 5, 2025 at 8:06:01 PM EST",IHRT,neutral
52,370k HOOD earnings YOLO,"Wednesday, November 5, 2025 at 8:31:27 PM EST",HOOD,positive
53,500k $DNUT YOLO,"Wednesday, November 5, 2025 at 8:44:09 PM EST",DNUT,positive
54,How coded am I with this 150K in unrealized losses?,"Wednesday, November 5, 2025 at 9:57:30 PM EST",SNAP,neutral
55,OPEN ALL THE DOORS,"Wednesday, November 5, 2025 at 10:02:16 PM EST",OPEN,neutral
56,I bought Webull on Robinhood… and my Webull port is up 100%. What timeline am I in?! 😎,"Wednesday, November 5, 2025 at 11:47:31 PM EST",BULL,neutral
57,Grocery Outlet & Food Insecurity,"Thursday, November 6, 2025 at 12:32:34 AM EST",GO,neutral
58,IREN earning play 🤠,"Thursday, November 6, 2025 at 4:48:07 AM EST",IREN,neutral
59,"Boring $3.1 million gain with SPXL. Selling now, I'm glad this is over with.","Thursday, November 6, 2025 at 9:02:53 AM EST",SPXL,neutral
60,Draftkings $DKNG YOLO and why,"Thursday, November 6, 2025 at 9:05:08 AM EST",DKNG,positive
61,no clue why i got this... this early. silly stuff,"Thursday, November 6, 2025 at 9:45:02 AM EST",QQQ,neutral
62,Please save me mark cuckerberg,"Thursday, November 6, 2025 at 9:52:03 AM EST",META,neutral
63,"6K riding LDI, someone told me rate cuts made this an easy win","Thursday, November 6, 2025 at 10:09:50 AM EST",LDI,neutral
64,TSLA hedge - am I a regard?,"Thursday, November 6, 2025 at 11:43:10 AM EST",TSLA,neutral
65,Doubling down on $TSLA puts,"Thursday, November 6, 2025 at 12:13:51 PM EST",TSLA,neutral
66,Netflix 7 k loss so far,"Thursday, November 6, 2025 at 12:53:07 PM EST",NFLX,negative
67,Take losses now or hold out?,"Thursday, November 6, 2025 at 2:08:19 PM EST",META,positive
68,$GRND long real meat,"Thursday, November 6, 2025 at 2:11:05 PM EST",GRND,neutral
69,T1 Energy - TE YOLO,"Thursday, November 6, 2025 at 2:25:35 PM EST",TE,positive
70,Decided to come back…,"Thursday, November 6, 2025 at 2:30:49 PM EST",META,neutral
71,MSFT YOLO (+15k),"Thursday, November 6, 2025 at 3:11:50 PM EST",MSFT,positive
72,Bought the dip,"Thursday, November 6, 2025 at 4:06:40 PM EST",SPXL,neutral
73,Meta rebound gamble,"Thursday, November 6, 2025 at 4:12:29 PM EST",META,neutral
74,Dropping $NVDA going all in on $GOOGL (rival chip),"Thursday, November 6, 2025 at 4:17:27 PM EST",GOOGL,neutral
75,For my first ever loss porn. I officially belong hear after 350% over past few yrs,"Thursday, November 6, 2025 at 4:18:19 PM EST",HOOG,negative
76,Nvidia Loss,"Thursday, November 6, 2025 at 5:50:24 PM EST",NVDA,negative
77,lost 75% of my portfolio on HOOD earnings report. even though earnings beat expectations the stock still dumped.,"Thursday, November 6, 2025 at 9:46:08 PM EST",HOOD,neutral
78,GOOGL Six Figure Gains,"Friday, November 7, 2025 at 5:30:19 AM EST",GOOGL,positive
79,Born for the extreme fear…,"Friday, November 7, 2025 at 8:00:17 AM EST",META,neutral
80,Betting against Niccol,"Friday, November 7, 2025 at 10:03:26 AM EST",SBUX,neutral
81,Sold SPX 6850 calls for Nov 14 up 12k,"Friday, November 7, 2025 at 10:56:09 AM EST",SPX,neutral
82,25K GAP YOLO,"Friday, November 7, 2025 at 11:35:15 AM EST",GAP,positive
83,Struck in spx calls,"Friday, November 7, 2025 at 12:44:15 PM EST",SPX,neutral
84,$10k -> $28k (180% gain) 0DTE scalps this morning,"Friday, November 7, 2025 at 1:34:54 PM EST",SPY,neutral
85,$35k yolo on PM,"Friday, November 7, 2025 at 2:56:49 PM EST",PM,positive
86,DLTR DD,"Friday, November 7, 2025 at 3:56:04 PM EST",DLTR,neutral
87,ACHR: Took an arrow to the knee but bought the dip,"Friday, November 7, 2025 at 4:21:25 PM EST",ACHR,neutral
88,JOBY 85k YOLO,"Friday, November 7, 2025 at 5:38:46 PM EST",JOBY,positive
89,Averaged down several times but what the hell………am I cooked?,"Friday, November 7, 2025 at 7:31:42 PM EST",NVDA,neutral
90,$NICE $HOG 26K & 290K YOLO,"Friday, November 7, 2025 at 8:36:04 PM EST",NICE,positive
91,$NICE $HOG 26K & 290K YOLO,"Friday, November 7, 2025 at 8:36:04 PM EST",HOG ,positive
92,DD: Subprime Split Purchases $SEZL,"Friday, November 7, 2025 at 11:10:34 PM EST",SEZL,neutral
93,Picked up some tactical META calls near the bottom on Friday,"Saturday, November 8, 2025 at 4:00:47 AM EST",META,neutral
94,Rivian turnaround story has begun,"Saturday, November 8, 2025 at 11:28:04 AM EST",RIVN,neutral
95,$META 🐸 set it and forget it,"Saturday, November 8, 2025 at 11:30:34 AM EST",META,neutral
96,"CRWV earnings, Am I cooked?","Saturday, November 8, 2025 at 11:33:58 AM EST",CRWV,neutral
97,Turns out my rebound was a bull market,"Sunday, November 9, 2025 at 4:10:55 AM EST",BULL,neutral
98,"Gambling on Gambling is poetry, my synopsis.","Sunday, November 9, 2025 at 11:22:15 AM EST",DKNG,neutral
99,wont be doing this BS again,"Sunday, November 9, 2025 at 11:54:02 PM EST",QQQ,neutral
100,Bloom Energy(BE) play for this month,"Monday, November 10, 2025 at 12:17:05 AM EST",BE,neutral
101,NUAI yolo,"Monday, November 10, 2025 at 12:56:45 AM EST",NUAI,positive
102,Bought $50k worth of QQQ calls. No idea what I’m doing…,"Monday, November 10, 2025 at 1:00:06 AM EST",QQQ,neutral
103,"META I doubled down, but maybe I should’ve gotten short?","Monday, November 10, 2025 at 2:48:19 AM EST",META,neutral
104,Snap moving after earnings,"Monday, November 10, 2025 at 12:07:05 PM EST",SNAP,neutral
105,"Back to the WULF den, $69k YOLO","Monday, November 10, 2025 at 12:07:20 PM EST",WULF,positive
106,MUnday gains,"Monday, November 10, 2025 at 12:16:25 PM EST",MU,positive
107,Decade of Losses. I’m fixing it. (YOLO in $BEAM),"Monday, November 10, 2025 at 12:47:43 PM EST",BEAM,positive
108,"40k on 0 dte spx calls, +75k last week also","Monday, November 10, 2025 at 3:21:17 PM EST",SPX,neutral
109,8k-126k SPY call yolo,"Monday, November 10, 2025 at 5:45:13 PM EST",SPY,neutral
110,Bought $ADBE Calls in IRA (100K Full port),"Monday, November 10, 2025 at 6:58:40 PM EST",ADBE,neutral
111,First 900% gain QQQ 0dte,"Monday, November 10, 2025 at 11:08:13 PM EST",QQQ,neutral
112,Fat MU Gains,"Tuesday, November 11, 2025 at 6:19:01 AM EST",MU,positive
113,Portfolio 99% PLTR since 2021,"Tuesday, November 11, 2025 at 11:27:10 AM EST",PLTR,neutral
114,Is this what you call diamond hands?,"Tuesday, November 11, 2025 at 12:56:11 PM EST",FLNC,positive
115,Going for a Lambo from LABU,"Tuesday, November 11, 2025 at 1:12:18 PM EST",LABU,neutral
116,What's up with $AMBA,"Tuesday, November 11, 2025 at 2:25:37 PM EST",AMBA,neutral
117,B2b +45k days on spx calls,"Tuesday, November 11, 2025 at 3:51:20 PM EST",SPX,neutral
118,$17k TTWO bounce back bet,"Tuesday, November 11, 2025 at 4:28:06 PM EST",TTWO,neutral
119,SQQQ yolo for 45K,"Tuesday, November 11, 2025 at 5:02:38 PM EST",SQQQ,positive
120,55K+ AAOI YOLO,"Tuesday, November 11, 2025 at 5:35:40 PM EST",AAOI,positive
121,RIVN breakout commenced. Full send,"Tuesday, November 11, 2025 at 5:47:23 PM EST",RIVN,neutral
122,GOLD IS BACK,"Tuesday, November 11, 2025 at 7:06:51 PM EST",NEM,neutral
123,I need a miracle rally from MSTR IM cooked 😭😭😭,"Tuesday, November 11, 2025 at 9:09:45 PM EST",MSTR,neutral
124,All in on PayPal. Position and Math,"Tuesday, November 11, 2025 at 10:15:49 PM EST",PYPL,neutral
125,All in on PayPal. Position and Math,"Tuesday, November 11, 2025 at 10:15:49 PM EST",MATH,neutral
126,$RIVN,"Wednesday, November 12, 2025 at 1:03:13 AM EST",RIVN,neutral
127,Thoughts and prayers,"Wednesday, November 12, 2025 at 5:17:55 AM EST",NVDA,neutral
128,RKLB & SOFI are my babies. Riding these two from single digits,"Wednesday, November 12, 2025 at 9:58:10 AM EST",RKLB,neutral
129,RKLB & SOFI are my babies. Riding these two from single digits,"Wednesday, November 12, 2025 at 9:58:10 AM EST",SOFI,neutral
130,SQQQ YOLO 2,"Wednesday, November 12, 2025 at 9:58:28 AM EST",SQQQ,positive
131,250k on weed,"Wednesday, November 12, 2025 at 10:21:00 AM EST",GTBIF,neutral
132,I fucked a short: $SOFI (gain),"Wednesday, November 12, 2025 at 10:56:12 AM EST",SOFI,neutral
133,Do people even post their losses anymore??,"Wednesday, November 12, 2025 at 11:00:43 AM EST",META,neutral
134,Sweetgreen YOLO,"Wednesday, November 12, 2025 at 11:48:24 AM EST",SG,positive
135,Advanced Money Duolingo,"Wednesday, November 12, 2025 at 12:48:12 PM EST",DUOL,neutral
136,PFE: Overnight 230k win 🚀,"Wednesday, November 12, 2025 at 1:35:06 PM EST",PFE,neutral
137,Tis but a scratch! A scratch?!? But your arms off!....No it isn't!,"Wednesday, November 12, 2025 at 2:14:30 PM EST",NVDA,neutral
138,Netflix (NFLX) is still a great buy,"Wednesday, November 12, 2025 at 2:42:28 PM EST",NFLX,positive
139,Shorting the AI Bubble via shorting Softbank,"Wednesday, November 12, 2025 at 3:10:56 PM EST",SFTBY,neutral
140,$OPEN the door to Valhalla,"Wednesday, November 12, 2025 at 4:14:14 PM EST",OPEN,neutral
141,QQQ 55K Puts 2 days,"Wednesday, November 12, 2025 at 4:28:13 PM EST",QQQ,neutral
142,Jus Hold they say 🔥,"Wednesday, November 12, 2025 at 4:57:39 PM EST",NFLX,positive
143,Good day,"Wednesday, November 12, 2025 at 6:31:38 PM EST",AMD,neutral
144,ALLY Rally,"Wednesday, November 12, 2025 at 7:49:17 PM EST",ALLY,neutral
145,I had a nightmare that I sold and booked profits…,"Wednesday, November 12, 2025 at 10:46:15 PM EST",SOFI,neutral
146,Gld Gains,"Wednesday, November 12, 2025 at 11:30:07 PM EST",GLD,positive
147,$BULL yolo,"Thursday, November 13, 2025 at 11:29:08 AM EST",BULL,positive
148,PUTS 55K 11/14,"Thursday, November 13, 2025 at 12:28:17 PM EST",QQQ,neutral
149,My application to Wendy’s,"Thursday, November 13, 2025 at 2:14:08 PM EST",SPX,positive
150,$OPEN me up,"Thursday, November 13, 2025 at 3:08:32 PM EST",OPEN,neutral
151,MSTR sucks ass,"Thursday, November 13, 2025 at 3:59:31 PM EST",MSTR,neutral
152,7000% gain ytd - 12k on googl,"Thursday, November 13, 2025 at 4:48:27 PM EST",CA,neutral
153,Full port YOLO -> Down 20% in 3 days. Two months worth of salary gone. I'll see 🫵 at Wendy's,"Thursday, November 13, 2025 at 5:09:26 PM EST",AAOI,neutral
154,Saw another BULLtard YOLO'ing so I thought I'd share my BULLYOLO,"Thursday, November 13, 2025 at 7:23:29 PM EST",BULL,positive
155,Need consistency and the moment when you know it will sky rocket!,"Thursday, November 13, 2025 at 8:07:20 PM EST",TSLA,neutral
156,This is why you hedge,"Thursday, November 13, 2025 at 9:19:31 PM EST",SPY,neutral
157,Hope I don’t get vix vapor rubbed,"Thursday, November 13, 2025 at 11:40:46 PM EST",VXX,neutral
158,Nonstop gains on NVDA,"Friday, November 14, 2025 at 12:50:23 AM EST",NVDA,positive
159,ES Future Loss Porn,"Friday, November 14, 2025 at 8:16:20 AM EST",ES,negative
160,1000% on spy,"Friday, November 14, 2025 at 9:39:12 AM EST",SPY,neutral
161,$MU gains,"Friday, November 14, 2025 at 9:52:27 AM EST",MU,positive
162,$92k ASPI YOLO,"Friday, November 14, 2025 at 11:27:00 AM EST",ASPI,positive
163,I Love Volatility,"Friday, November 14, 2025 at 11:46:16 AM EST",SPY,neutral
164,My +30% gain in NBIS now sits at +6%. I’m ready to buy more,"Friday, November 14, 2025 at 1:13:48 PM EST",NBIS,positive
165,$57k loss porn on MSTR (shares only) - still HODLing... wen moon again?,"Friday, November 14, 2025 at 1:15:11 PM EST",MSTR,negative
166,sinn of the day: greed,"Friday, November 14, 2025 at 1:25:01 PM EST",CIFR,neutral
167,"Hey guys, they're just handing out cash over here.","Friday, November 14, 2025 at 2:06:24 PM EST",RKLB,neutral
168,Changed my Robinhood configuration,"Friday, November 14, 2025 at 2:39:57 PM EST",DUOL,neutral
169,Thank you CDTX,"Friday, November 14, 2025 at 3:03:59 PM EST",CDTX,neutral
170,"YOLO’d $1.5K into TSLA 0DTE OTM calls, entered at open, sold for 300% gain in an hour. And scalped some MSTR. Lucky Friday in my new account","Friday, November 14, 2025 at 3:35:45 PM EST",TSLA,positive
171,DOWN WITH SAYLOR,"Friday, November 14, 2025 at 4:12:37 PM EST",MSTR,neutral
172,Pamp it plz 🐸,"Friday, November 14, 2025 at 5:16:37 PM EST",META,neutral
173,GOOGL 35k $ Gains,"Friday, November 14, 2025 at 5:51:34 PM EST",GOOGL,positive
174,Full ported NBIS and IREN last week,"Friday, November 14, 2025 at 6:25:38 PM EST",NBIS,neutral
175,Full ported NBIS and IREN last week,"Friday, November 14, 2025 at 6:25:38 PM EST",IREN,neutral
176,Google loss porn -85k,"Friday, November 14, 2025 at 8:16:51 PM EST",GOOGL,negative
177,SNAP 50K YOLO w/ confirmation bias,"Saturday, November 15, 2025 at 5:09:16 AM EST",SNAP,positive
178,Welcome to doodoo land | $VOYG puts,"Saturday, November 15, 2025 at 7:33:38 AM EST",VOYG,neutral
179,10K in QQQ puts,"Saturday, November 15, 2025 at 3:04:16 PM EST",QQQ,neutral
180,Swinging over the weekend,"Saturday, November 15, 2025 at 5:43:29 PM EST",GDX,neutral
181,Split for NFLX,"Sunday, November 16, 2025 at 3:17:44 PM EST",NFLX,neutral
182,"Breaking news: Netflix loses more than 400 billion in their valution, DOWN 90%.","Monday, November 17, 2025 at 3:30:48 AM EST",NFLX,neutral
183,Nvidia CEO Jensen Huang surprised investors with a 'half a trillion' forecast. It'll come up at earnings,"Monday, November 17, 2025 at 10:28:00 AM EST",NVDA,neutral
184,Genuinely don’t have much left,"Monday, November 17, 2025 at 11:23:31 AM EST",SPY,neutral
185,Got Zucked,"Monday, November 17, 2025 at 11:59:04 AM EST",META,neutral
186,"$18K 0DTE puts. closed too early at 2 PM, but I need a breather since starting with $4K Friday. I should probably lower the risk now right?","Monday, November 17, 2025 at 2:33:22 PM EST",SPY,neutral
187,$PACS tax free gains,"Monday, November 17, 2025 at 3:08:53 PM EST",PACS,positive
188,$26k GOOG Gains,"Monday, November 17, 2025 at 5:32:59 PM EST",GOOG,positive
189,330k Micron calls bet,"Monday, November 17, 2025 at 6:18:12 PM EST",MU,neutral
190,shorted the $HOOD,"Monday, November 17, 2025 at 10:06:24 PM EST",HOOD,neutral
191,RDDT Rocket Ready,"Tuesday, November 18, 2025 at 1:51:55 AM EST",RDDT,neutral
192,Surely webull cannot go any lower?,"Tuesday, November 18, 2025 at 4:29:24 AM EST",BULL,neutral
193,Diversification? Don’t make me laugh.,"Tuesday, November 18, 2025 at 10:55:13 AM EST",BMNR,neutral
194,"Spy , mstr loss","Tuesday, November 18, 2025 at 12:29:41 PM EST",SPY,negative
195,"Spy , mstr loss","Tuesday, November 18, 2025 at 12:29:41 PM EST",MSTR,negative
196,Since I lost most of my money on fake meat. I decided to buy some real meat at Wendy’s,"Tuesday, November 18, 2025 at 12:47:22 PM EST",WEN,positive
197,POET and META losses,"Tuesday, November 18, 2025 at 2:51:37 PM EST",POET,neutral
198,POET and META losses,"Tuesday, November 18, 2025 at 2:51:37 PM EST",META,neutral
199,$CMCSA DD,"Tuesday, November 18, 2025 at 2:53:25 PM EST",CMCSA,neutral
200,$70K $RDW Bet,"Tuesday, November 18, 2025 at 3:54:21 PM EST",RDW,neutral
201,No need for painkillers for the time being,"Tuesday, November 18, 2025 at 4:25:00 PM EST",NFLX,neutral
202,I think I’m cooked BMNU,"Tuesday, November 18, 2025 at 7:29:20 PM EST",BMNU,neutral
203,We're in the end game now.,"Wednesday, November 19, 2025 at 6:58:47 AM EST",NVDA,neutral
204,YOLO $23k LUNR,"Wednesday, November 19, 2025 at 9:38:20 AM EST",LUNR,positive
205,TSLA puts yolo 45k,"Wednesday, November 19, 2025 at 11:35:56 AM EST",TSLA,positive
206,$RIVN gain 2.4K -> 13K,"Wednesday, November 19, 2025 at 12:18:56 PM EST",RIVN,neutral
207,Because my financial advisor was tooth fairy 🧚,"Wednesday, November 19, 2025 at 12:58:26 PM EST",DND,neutral
208,Bleeding bad,"Wednesday, November 19, 2025 at 1:03:27 PM EST",META,neutral
209,Bleeding bad,"Wednesday, November 19, 2025 at 1:03:27 PM EST",MSFT,neutral
210,Fork in the road,"Wednesday, November 19, 2025 at 3:46:37 PM EST",NVDA,neutral
211,How to do 0dte after market close 101,"Wednesday, November 19, 2025 at 5:45:59 PM EST",NVDA,neutral
212,Look at me,"Wednesday, November 19, 2025 at 11:44:02 PM EST",NVDA,neutral
213,PACS 2 moon,"Thursday, November 20, 2025 at 9:49:19 AM EST",PACS,positive
214,I’m finally break even. Will quit and do ETFs now.,"Thursday, November 20, 2025 at 9:58:09 AM EST",TQQQ,neutral
215,Tired of the BULL shit,"Thursday, November 20, 2025 at 10:35:49 AM EST",BULL,neutral
216,META 600c,"Thursday, November 20, 2025 at 11:32:02 AM EST",META,neutral
217,What a crazy trap set for all $NVDA bulls,"Thursday, November 20, 2025 at 11:57:17 AM EST",NVDA,neutral
218,$1.2k to $38k,"Thursday, November 20, 2025 at 12:03:22 PM EST",SPX,neutral
219,I was just trying to scalp for a quick gain and got distracted,"Thursday, November 20, 2025 at 1:04:07 PM EST",SPY,neutral
220,Up $5k on an options trade this morning. DEC 31 $SPY Puts. Held for a grand total of just over 2 hours. That was some easy money.,"title=""Thursday, November 20, 2025 at 2:25:16 PM EST""",SPY,neutral
221,QQQ puts 0DTE gain 0.1$P >> 3.68$P,"Thursday, November 20, 2025 at 3:22:35 PM EST",QQQ,neutral
222,Shorted Tesla at its substanceless top and held like a regard.,"Thursday, November 20, 2025 at 3:35:04 PM EST",TSLA,neutral
223,META Losses,"Thursday, November 20, 2025 at 3:41:01 PM EST",META,neutral
224,Is first one always free?,"Thursday, November 20, 2025 at 4:28:12 PM EST",PLTR,neutral
225,Webull reports strong Q3 Earnings. Reports EPS of $0.07 exceeding the $0.03 estimate,"Thursday, November 20, 2025 at 4:28:42 PM EST",BULL ,neutral
226,I went full regard today,"Thursday, November 20, 2025 at 4:52:58 PM EST",IREN,neutral
227,Full cash port 13k 0DTE Spx puts,"Thursday, November 20, 2025 at 6:08:12 PM EST",SPX,neutral
228,Sold the Top and Laughed at the Drop,"Thursday, November 20, 2025 at 6:32:21 PM EST",QQQ,neutral
229,$HOOD has been good to me this week,"Thursday, November 20, 2025 at 6:50:53 PM EST",HOOD,neutral
230,$112k GOOG calls sold 30 minutes before the collapse,"Thursday, November 20, 2025 at 8:52:14 PM EST",GOOG,neutral
231,Accidental 5k -> 150k,"Thursday, November 20, 2025 at 9:28:55 PM EST",SPX,neutral
232,"One million dollars bet on $SPT, down 20%, will hold till 25$","Friday, November 21, 2025 at 5:29:59 AM EST",SPT,positive
233,SPX Puts 1k to 21k,"Friday, November 21, 2025 at 5:47:51 AM EST",SPX,neutral
234,I believe in the market. SPY 700 by March.,"Friday, November 21, 2025 at 11:17:02 AM EST",SPY,neutral
235,Wiped out 100 k in a span of 2 days 21 years old,"Friday, November 21, 2025 at 11:36:47 AM EST",QQQ,neutral
236,QQQ 0DTE regard gain,"Friday, November 21, 2025 at 11:59:35 AM EST",QQQ,neutral
237,Anatomy of a tenbagger: why the Red Queen hypothesis will help you find the next NVDA. AMPX DD,"Friday, November 21, 2025 at 1:43:56 PM EST",AMPX,neutral
238,Trump team internally floats idea of selling Nvidia H200 Chips to China,"Friday, November 21, 2025 at 2:14:45 PM EST",NVDA,neutral
239,Highly diversified portfolio? Never heard of it.,"Friday, November 21, 2025 at 3:22:22 PM EST",GOOGL,neutral
240,59k YOLO NVIDIA,"Friday, November 21, 2025 at 3:44:20 PM EST",NVDA,positive
241,here we go again 12 k on the line... idk why im liking the market going up,"Friday, November 21, 2025 at 6:10:43 PM EST",QQQ,neutral
242,Accidental 10k -> 60k,"Friday, November 21, 2025 at 6:59:12 PM EST",RUTW,neutral
243,$OPEN THE 🚪 ALREADY !,"Friday, November 21, 2025 at 8:44:43 PM EST",OPEN,neutral
244,Amazing gains from investment—long TSLA,"Saturday, November 22, 2025 at 12:33:39 PM EST",TSLA,neutral
245,80k -> 740k ->1k MSTR,"Sunday, November 23, 2025 at 2:21:31 AM EST",MSTR,neutral
246,fuck you sam,"Monday, November 24, 2025 at 10:00:52 AM EST",GOOGL,neutral
247,Need to go with my gut more,"Monday, November 24, 2025 at 10:16:08 AM EST",GOOGL,neutral
248,Guess who sold GOOGL at $192,"Monday, November 24, 2025 at 11:15:42 AM EST",GOOGL,neutral
249,i dont know why i did this. smh. im still wondering. 10k on the line,"Monday, November 24, 2025 at 11:40:29 AM EST",QQQ,neutral
250,GOOG 4x gain,"Monday, November 24, 2025 at 11:41:12 AM EST",GOOGL,neutral
251,$AVGO Gain 678%,"Monday, November 24, 2025 at 12:02:52 PM EST",AVGO,neutral
252,Corsair ($CRSR) - Margin Glitch. Insiders Just Loaded the Boat. The Market is Sleeping.,"Monday, November 24, 2025 at 1:12:59 PM EST",CRSR,neutral
253,Big G for the win !!!!,"Monday, November 24, 2025 at 1:17:29 PM EST",GOOGL,positive
254,PSKY $70K YOLO,"Monday, November 24, 2025 at 2:16:30 PM EST",PSKY,positive
255,GOOG Gains,"Monday, November 24, 2025 at 2:27:09 PM EST",GOOG,positive
256,"Buying the dip, kept dipping $APLD $META","Monday, November 24, 2025 at 3:14:12 PM EST",APLD,neutral
257,"Buying the dip, kept dipping $APLD $META","Monday, November 24, 2025 at 3:14:12 PM EST",META,neutral
258,PGY - Oversold and Undervalued,"Monday, November 24, 2025 at 3:43:26 PM EST",PGY,neutral
259,Royal Flush ♦️,"Monday, November 24, 2025 at 4:03:35 PM EST",GOOGL,neutral
260,Sundar is my daddy,"Monday, November 24, 2025 at 5:41:28 PM EST",GOOGL,neutral
